BoosterMotorEncosTest/MotorCmdKd#0,BoosterMotorEncosTest/MotorCmdKp#0,BoosterMotorEncosTest/MotorCmdPos#0,BoosterMotorEncosTest/MotorCmdTor#0,BoosterMotorEncosTest/MotorCmdVel#0,BoosterMotorEncosTest/MotorFbPos#0,BoosterMotorEncosTest/MotorFbTemp#0,BoosterMotorEncosTest/MotorFbTor#0,BoosterMotorEncosTest/MotorFbVel#0,BoosterMotorEncosTest/TotalLostFrameCnt,BoosterMotorEncosTest/TotalRecvFrameCnt,BoosterMotorEncosTest/TotalSendFrameCnt,BoosterMotorEncosTest/t
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.1904761940,-0.0043956046,0,659,659,157
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.1904761940,-0.0043956046,0,660,660,158
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.1611721665,-0.0219780225,0,661,661,159
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.0732600763,0.0043956046,0,662,662,160
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.1025641039,-0.0043956046,0,663,663,161
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.0732600763,-0.0043956046,0,664,664,162
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.0146520147,0.0043956046,0,665,665,163
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.1025641039,-0.0131868133,0,666,666,164
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.1025641039,-0.0131868133,0,667,667,165
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.1025641039,0.0043956046,0,668,668,166
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.1611721665,-0.0131868133,0,669,669,167
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.0146520147,-0.0307692308,0,670,670,168
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.1904761940,-0.0131868133,0,671,671,169
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.0732600763,0.0043956046,0,672,672,170
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.0732600763,0.0043956046,0,673,673,171
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.0732600763,-0.0307692308,0,674,674,172
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.0732600763,-0.0131868133,0,675,675,173
